key,value,
4b96bd870d1d8506a982a2ce80c788a791cbc6c5,1,
,,
fc200ceca1824abd458d3243a2183ab879f5a271,2,
,,
e6e0af03ee39b3e800c8f7e86eefffae432ee7c8,1,
,,
edb0e8c3de9345f7e1653fbd95da7b25b5a64ee1,1,
,,
ab1592f3cece9d006164b3460e42f940275d875c,1,
,,
104ffe503ff7050e8af67832b5685f68b8e3b9a4,0,
,,
d2e851cb750e29fd1382ec407502c01206cea2a7,5,
,,
87dcca1d85535ba119a12952e5d9c2c47ba82188,2,
,,
6536856f84f2197d92ccaba9192d8ff0b71de828,3,
,,
ec4e6687ef50886202a9d796dcec954a4efdfd46,7,
,,
244ebcd7b41fea9edbbbd12525973b1c6d6bcfe1,1,
,,
bae0d10b182505a9331a651e28297b5754b0ad36,1,
,,
2015891079b265e4bfa586e866280a9d48192cf4,6,
,,
5dde07b8010c47a1b64ccc05a51839d163e89b8e,7,
,,
49f2d883a92e6425b718d9b769e3b5f2fafbfc16,6,
,,
d1e28a6d64952f12f547c8f41775f80c8f2dcd4a,1,
,,
d385f910ac601bdddfead86d62f1db37dcab0d0f,1,
,,
a833b6d720b60f189572efd2a7af0ac6f5d20a52,1,
,,
188eeb79c9f2eb536d73efee09a3698750c87dab,1,
,,
7bbd143921e5225fa8bf2d4603592c19d6a8af7a,1,
,,
10ce81bd6059d3d7b4de109f4ff801ad2ae92557,2,
,,
5c20046e90239c2d5a66ff07c1cff92f7905a36a,15,
,,
9686127f81d322356f54f71ad169ff5c6a6fb5df,1,
,,
4d7b7c5af7fff3783e0ed16a2d142788b1cdf63b,1,
,,
00f5352ddc90ab05f3d1a44534e44b015e071e18,1,
,,
8a5a782c9a59f5d5e72cefc34b57b6368c193646,2,
,,
62f786402a7e966b7cbd8298b4e8c4a06476708d,4,
,,
4cbcaa00dc1e3ae4c33a322be9aa0e0912388dad,1,
,,
9d612e967db4488dbe25bd6b57a2f8f12089e78a,2,
,,
20f434653130175cea044ed5813ce98d7568d750,1,
,,
db5a5431d4283791ee4ce103553344672c426aad,1,
,,
e0a3bc541a896ba33a0bf330384765967d08ee4f,2,
,,
71233740fb0e3c6668caa06e9f5164fbebd7d920,3,
,,
8a72a7df438b9b428c41e3b31f6d0529526b4e7a,1,
,,
b4e2c44ab20d6085d9fa42d94fbf5af342348872,2,
,,
6285851352b1290b2a958038a645a43cb34dc62c,2,
,,
cf0757e1edcc6e76e70c52493e9ef41888a66f7e,2,
,,
b584226610a5a74ebf423a521b3e105fee02d82b,7,
,,
55a7aa3c8082d43283a37b9e24f1c0168d1ea0f3,1,
,,
49a9fe08eda36bba2fc81dd6167b0ca012df8c8c,2,
,,
1b1927883b2c08a0c062fa0fcd65e97766218c03,16,
,,
23d893f59ce2a0db523f8bdb22d7f9e12559a605,1,
,,
272bd576d1118699ca047407afc62bbb8aba8aa8,0,
,,
9153393a7707da307d890cc1ec3b917290740aec,8,
,,
1cd175a1e5a2172e1c0818f343487d55d729dab6,3,
,,
3844ad4354aad3b4a4cb3a295536d31881f4af76,1,
,,
564b9c4c99ffb7b4d87c6572bd0817ade7458f86,1,
,,
1e2fcf21600e48fdf52ebe07b2c120d2511c7e87,12,
,,
139b7cefa1116f9b9b21da531604b0096a1f3c3e,1,
,,
f60bcbd01f66ae5ad63817e61d799a0e1f322219,1,
,,
70cc98bb99e81d60ce691f1a4676e148af201347,1,
,,
7f1ac4cb133a4f29d514c97383ce6beb2a77b137,1,
,,
dc3e1fc04b13fd753e048fb05261b72cb185f576,3,
,,
c4141f139b50737c53bd937167fb3e3bf6f9c5d6,13,
,,
89f0f5ac370991ce8d81ef5cdb60ac2b85e37a5d,3,
,,
18b3a87fa032d2b426e8ac7372afac2f2562b57e,1,
,,
05d1f64533a66dd30a6a700fa5bc4a80e77ae052,3,
,,
0a6dde72657ed1f95e81b7d769c77f457c73de62,2,
,,
84fff469657fa9460522c3f859a42ce3db1b2f23,2,
,,
